epoch,train_loss,train_miou,train_pixel_acc,val_loss,val_miou,val_pixel_acc
1,2.376681529558622,0.2466409770494597,0.47226478826360757,2.043678198661004,0.33589191936126783,0.5835423206062577
2,2.029737032376803,0.34600821632939055,0.6054023347954306,1.9074419178329147,0.36553950217812803,0.6273339592498137
3,1.8973818625603522,0.3617539010045941,0.6271685276713426,1.7830342913007402,0.4100454342860903,0.6599454086753225
4,1.7948537239661584,0.38434379843016325,0.6473130174080937,1.7356147649404885,0.4146912452233976,0.6593366464664399
5,1.6859473448533278,0.41211158313568963,0.6721082886530727,1.6441571829202293,0.4291750560833748,0.6806874960263738
6,1.6253913282514452,0.42587265029174853,0.681849666488069,1.6485287376217075,0.42627618232219855,0.6678449506884384
7,1.6034943640648902,0.42868756715719675,0.6827658847694832,1.6195400778230253,0.4302698753289115,0.6771372051167333
8,1.567921331712416,0.43335073965668003,0.6866357776961954,1.5842730248724664,0.4421228376235763,0.6874026428085059
9,1.5091746820436491,0.45116009892048725,0.7036801040877187,1.5309987551682478,0.4496735496152653,0.6953301677269614
10,1.4995444421167974,0.4484877918368246,0.7025576320773611,1.4805550191785906,0.45778163037529296,0.7129137248431269
11,1.45700531739455,0.4595241242369928,0.7134239229539718,1.452829706918943,0.46927925108312984,0.713061573220381
12,1.436482234434648,0.47072130419978164,0.7198266942916296,1.4346151526991304,0.4701342768570743,0.7169359726466564
13,1.398541504686529,0.47475249784207796,0.724281120318538,1.4520275709512351,0.4674733043185957,0.7162858257578463
14,1.4075474639038938,0.47429073853868275,0.7240188301687643,1.4153240894104218,0.47589030887258016,0.7236501545010181
15,1.3671539438354385,0.48233953957387604,0.730820857651772,1.3820122588764538,0.4792913077178083,0.7318205195750073
16,1.355985579790769,0.4877415860417206,0.7342746486350102,1.60031881532469,0.43842622096147776,0.6694044883936879
17,1.3500432517978695,0.48654038241059694,0.7338309442611703,1.3679812254605594,0.48420690370859676,0.7316962583210278
18,1.3192639667671044,0.49534712003532766,0.7413341378543163,1.3973060804647166,0.48151631392865124,0.7264175673463297
19,1.321267593573857,0.4952987264224969,0.7412867121041834,1.4219593468245926,0.47640735573728504,0.722494814317341
20,1.2957286409564786,0.5003016737257061,0.7439052412052729,1.3593133679636709,0.48898028560689705,0.7358084588355916
21,1.2519693157889626,0.5135980482232196,0.7553806900908026,1.3570045707942722,0.49096996090078737,0.740817291677187
22,1.2784109986745393,0.5034513978492031,0.7485347776942105,1.3746674510982486,0.48321243251623264,0.7270473435377661
23,1.2585202172085956,0.5140450694400786,0.7534025427391042,1.3627354548527644,0.48746494252148137,0.7339846381354679
24,1.2187749505876662,0.5242109620697462,0.7620518139195972,1.3005834659496387,0.5033278412359581,0.7492666280909986
25,1.2165922593403529,0.5246298539621298,0.7620967449894346,1.333166906050035,0.4911891800437833,0.7415907348922063
26,1.2256567436498362,0.5226111828398021,0.7596823773047828,1.3311828950068334,0.49619027150506917,0.7397708811173607
27,1.2271624895242543,0.5215443611362174,0.7595421923668899,1.3833050127629634,0.4838647905043365,0.7279471922906988
28,1.1643205247558914,0.5441441106524718,0.7740750999629125,1.4090310110078825,0.4773880313744704,0.7234677831524254
29,1.1774250602388716,0.5369328655270108,0.7682310028888398,1.338887776528205,0.4967608632316324,0.7431263638315909
