epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_fc,is_best
1,2.664345068822238,0.4485282159700764,1.4361218008340573,0.6803921568627451,0.001,0.01,1
2,0.9316243996638014,0.8011058708733128,0.6580781678358714,0.8588235294117647,0.0009938441702975688,0.009938441702975689,1
3,0.573200894344297,0.8760774109611319,0.40912005936398227,0.9176470588235294,0.0009755282581475768,0.009755282581475769,1
4,0.4341660206793653,0.9060009757684176,0.3562001514668558,0.9137254901960784,0.0009455032620941839,0.00945503262094184,0
5,0.3566981980055789,0.9198243616848268,0.2919230115179922,0.9343137254901961,0.0009045084971874737,0.009045084971874739,1
6,0.28602349300620267,0.9351114002276792,0.24705401407737357,0.942156862745098,0.0008535533905932737,0.008535533905932738,1
7,0.2654353522114452,0.9425922914295007,0.22528818635379566,0.9392156862745098,0.0007938926261462366,0.007938926261462366,0
8,0.25311687264447874,0.9412912668726622,0.22632943456079446,0.9450980392156862,0.0007269952498697733,0.007269952498697735,1
9,0.23849988590509721,0.945844852821597,0.20654618640740713,0.9490196078431372,0.0006545084971874737,0.006545084971874738,1
10,0.21622640806633314,0.9530004878842088,0.20292533828931697,0.9470588235294117,0.0005782172325201155,0.005782172325201155,0
11,0.1974092334203554,0.9549520247194666,0.19733492369745292,0.9480392156862745,0.0005,0.005,0
12,0.19538208077953859,0.9560904212067003,0.18409295800854178,0.9529411764705882,0.0004217827674798847,0.004217827674798847,1
13,0.1790618533951652,0.9614571475036592,0.18234108552044515,0.95,0.00034549150281252633,0.0034549150281252636,0
14,0.1928557614462805,0.9559277931370954,0.17524361055271298,0.9588235294117647,0.00027300475013022663,0.0027300475013022664,1
15,0.18258087189919892,0.9583672141811677,0.18162427684840035,0.953921568627451,0.00020610737385376348,0.0020610737385376348,0
16,0.17978988938029947,0.9604813790860303,0.1748951612149968,0.957843137254902,0.00014644660940672625,0.0014644660940672626,0
17,0.1732396895438796,0.961619775573264,0.1690271240823409,0.957843137254902,9.549150281252631e-05,0.0009549150281252633,0
18,0.16996297131327812,0.9634086843389169,0.1790144171784906,0.9549019607843138,5.4496737905816096e-05,0.0005449673790581611,0
19,0.15654176656337923,0.9658481053829892,0.17350235411933823,0.957843137254902,2.447174185242323e-05,0.00024471741852423234,0
20,0.15189827258089322,0.966823873800618,0.16801297933447595,0.9607843137254902,6.15582970243117e-06,6.15582970243117e-05,1
