epoch,train_loss,train_miou,train_pixel_acc,val_loss,val_miou,val_pixel_acc
1,0.7691679684432237,0.22758320191820605,0.43290940936002975,0.6715665538827856,0.3006505285677816,0.5344606262831529
2,0.6858038026969749,0.3299461335977518,0.5670799949548444,0.6643547065608151,0.3655530784984269,0.6099622573863345
3,0.6317960386509662,0.3757745413683512,0.6167903089235036,0.5897004104160762,0.41064704302919897,0.642586465301251
4,0.5891982437847377,0.3911196609691798,0.631631993561257,0.5782383692848099,0.38193041554375207,0.6226019534641067
5,0.5562333118665469,0.3986428956243463,0.6416925563514748,0.532158123863327,0.42694172906849437,0.670500217483998
6,0.522879529249418,0.4187311286674892,0.6634609220134505,0.5193584123691479,0.4245876507510869,0.6687577723591723
7,0.508855030253217,0.42370236387533045,0.6709288145391898,0.4921682331111881,0.4421624479021507,0.6837968149449728
8,0.49043827748798824,0.43820332856576405,0.6826585866922594,0.4860478456203754,0.4475055405773504,0.6884349010943674
9,0.4850576449107457,0.43175649828470797,0.6768306648033282,0.5021857415045892,0.4223075480161075,0.6569507017329995
10,0.47241874799861777,0.4429048137651816,0.689720570591861,0.4941430833789852,0.4280438365496364,0.6563508383024433
11,0.4719900159569053,0.4418271175091371,0.6860341305526823,0.46030564074749714,0.46813677674072446,0.7094921981837272
12,0.45297647981376915,0.45953495996186117,0.7034522029716953,0.4711984508521073,0.44998741739712705,0.6908072296248264
13,0.4668389792208905,0.44967805311287756,0.6923660315103336,0.4670054837540313,0.45680625842179534,0.6905001681654676
14,0.44532261986832516,0.4613891074444488,0.7011004973641423,0.45123617298953184,0.4782429226003395,0.7129839501419677
15,0.44337474924701076,0.4696446583772187,0.7014379766415305,0.4501714789784038,0.47358951969259744,0.7138116437405189
16,0.4197828219487117,0.4865585988668492,0.7194547991559719,0.4444802995328303,0.47753309803120214,0.7133496577669234
17,0.4365596850435217,0.4717057017420448,0.703253325985561,0.4566515621605453,0.46371567285942217,0.6855546989141239
18,0.41931841923640323,0.48806003537167447,0.7193308162277398,0.43853018292180307,0.4829064167160828,0.7176543077645701
19,0.4122030193155462,0.4857736967732345,0.7164585271740159,0.4399694287693584,0.48659504071488746,0.7193387500089792
20,0.42495549850530556,0.4831706950618501,0.7126768064422624,0.4381519952020445,0.47834748807322475,0.7077655135458168
21,0.41611963677239583,0.4940096057960713,0.719512498696999,0.43973038496671024,0.47813544656605345,0.7023360794105535
22,0.42114506192974277,0.49076095136494374,0.7164522234119791,0.4550519973248035,0.45568423629546695,0.6897262960936614
23,0.4196204434741627,0.4881625984925704,0.7154412609283762,0.4362948165906893,0.4822656083131351,0.7084224149290194
24,0.4149844708976212,0.49309898036253136,0.7210156374608275,0.4395934447541937,0.4786222462901375,0.7039472943586141
25,0.40208683480749596,0.5082491152745782,0.7338737561939827,0.42330782271765327,0.49714995317394717,0.7301433678959739
26,0.40410428655731095,0.5050887462591367,0.7335093987482499,0.42779580404708434,0.4908501762375856,0.7208191636370616
27,0.3978604015770492,0.5089452597449389,0.7345437790372068,0.4360070745428125,0.48204832998864766,0.7071391682086748
28,0.3930176471496795,0.5153258170411648,0.7406493883499933,0.42473857136039467,0.4962195786811574,0.7287527997647292
29,0.40456904147888395,0.5046631900765342,0.7312075330975673,0.4209717903937493,0.49899257494450927,0.7265885739900717
30,0.39122161039939296,0.5141285859286604,0.7366635598508406,0.4296809243155526,0.49204029622846396,0.7272654172138612
31,0.4021931269785741,0.5127072357769377,0.7348406996414044,0.41980405954214245,0.5060555564580672,0.7386805127368857
32,0.3937061062225929,0.513846370955395,0.742627750297846,0.4219239391647019,0.5036472958753161,0.7340574365750296
33,0.3912368333423054,0.5149307625069255,0.7393440535915269,0.4300075327599799,0.4884760131743313,0.7194580794099102
34,0.39274080274821993,0.5134489645615457,0.7378015364333572,0.4289916716255508,0.4879614787794482,0.7197352281083889
35,0.3906236795278696,0.5201288355137708,0.7434659897016378,0.4251540211530832,0.4963273685108943,0.7287703828929886
36,0.3836968762057644,0.5245804724190247,0.7461346538293101,0.41918735154025205,0.5042770384299331,0.7304921356778505
37,0.38019640462381854,0.5269546136661089,0.7466420396119823,0.424809468376053,0.4976173615595495,0.7259619070103396
38,0.3813394353939937,0.5239786487726695,0.7442734613817857,0.4225598131860053,0.4996701592058523,0.7367613786158926
39,0.3750702701248489,0.5308946121106526,0.7492550965111333,0.4136761831236886,0.510603774440995,0.7329670681945547
40,0.37396773550060247,0.5341062782271822,0.7538689943053155,0.42183257358057513,0.4978832453125055,0.7325920329344858
41,0.37204692747209456,0.5371748107740306,0.7561426942107269,0.4224354349649869,0.4992570884392993,0.7316885388988652
42,0.3780559647333372,0.5327651286560873,0.7547919991901141,0.4222470696989473,0.501308113368079,0.7344187484179205
43,0.3809813406917599,0.5307659202285158,0.7524745484937148,0.43536346567260636,0.49235461324626484,0.7281184133628343
44,0.38410428854135364,0.5262219324724344,0.747022169875067,0.4149844354682869,0.5045590085776699,0.7331606970338013
45,0.37464680538310874,0.5411220348002306,0.7566158519067646,0.40705160327724643,0.5162823336336704,0.7461668512359063
46,0.36555584660776846,0.5459853871526268,0.7621275395375978,0.40805082054404945,0.5190257741330311,0.7521511188391105
47,0.3639553310154201,0.5519723727640351,0.7663402229965209,0.4223112143003024,0.5003358987843252,0.7357697545105817
48,0.3622307898281337,0.5473389806903372,0.7611340129915439,0.4214170554301122,0.4967316496907056,0.7259682326479452
49,0.36152651801809566,0.5429997533752751,0.7585884197584474,0.4164214509350437,0.5022748738338453,0.7322164616034333
50,0.3645130641810544,0.5544081466595572,0.7646501709821685,0.4184847611647386,0.5055667040699471,0.7417368678423132
