frame,track_id,class_id,class,confidence,x1,y1,x2,y2,cx,cy
0,1,5,car,0.9009921550750732,702.8035888671875,406.4912109375,812.599609375,503.76226806640625,757.7015991210938,455.1267395019531
0,2,5,car,0.8258539438247681,802.756103515625,413.8778076171875,939.25341796875,471.703857421875,871.0047607421875,442.79083251953125
0,3,5,car,0.8192356824874878,498.8123779296875,402.0477600097656,630.3577880859375,471.6792297363281,564.5850830078125,436.8634948730469
0,4,5,car,0.7439137697219849,1057.4775390625,437.99237060546875,1147.06591796875,478.2640380859375,1102.271728515625,458.1282043457031
0,5,5,car,0.7256544828414917,305.34930419921875,392.10211181640625,347.143798828125,432.83868408203125,326.2465515136719,412.47039794921875
0,6,10,motorbike,0.4393543303012848,0.0,376.9356689453125,25.228408813476562,497.2242431640625,12.614204406738281,437.0799560546875
0,7,19,van,0.43505585193634033,118.81967163085938,351.00238037109375,317.92083740234375,452.30584716796875,218.37025451660156,401.65411376953125
0,8,9,minivan,0.39404699206352234,119.7103271484375,351.4748229980469,317.539794921875,452.0306091308594,218.62506103515625,401.7527160644531
0,9,10,motorbike,0.3519187569618225,91.99507141113281,423.721923828125,123.43948364257812,475.564697265625,107.71727752685547,449.643310546875
0,10,11,pickup,0.25288236141204834,118.72412109375,350.67291259765625,316.8419494628906,452.45697021484375,217.7830352783203,401.56494140625
1,1,5,car,0.897864580154419,702.7831420898438,406.28668212890625,812.6460571289062,503.7864990234375,757.714599609375,455.0365905761719
1,2,5,car,0.828194797039032,802.3539428710938,413.93218994140625,939.3750610351562,471.6456604003906,870.864501953125,442.78892517089844
1,3,5,car,0.8060112595558167,500.3367919921875,401.4759521484375,630.3662109375,472.025634765625,565.3515014648438,436.75079345703125
1,4,5,car,0.7545307874679565,1057.478759765625,437.93414306640625,1147.3939208984375,478.537109375,1102.4363403320312,458.2356262207031
1,5,5,car,0.7332416772842407,305.26214599609375,392.2603759765625,347.36322021484375,432.9873962402344,326.31268310546875,412.62388610839844
1,6,10,motorbike,0.4605165719985962,0.0,374.78900146484375,25.815326690673828,497.5863342285156,12.907663345336914,436.1876678466797
1,7,19,van,0.4486519992351532,119.56307220458984,350.8148498535156,317.7574462890625,452.4722595214844,218.66025924682617,401.6435546875
1,8,9,minivan,0.3664785623550415,120.76879119873047,351.3225402832031,317.41314697265625,452.20281982421875,219.09096908569336,401.76268005371094
1,9,10,motorbike,0.37208664417266846,91.8281478881836,423.02764892578125,123.59060668945312,475.8395080566406,107.70937728881836,449.43357849121094
1,10,11,pickup,0.3134517967700958,118.8826904296875,350.38494873046875,316.912353515625,452.5654602050781,217.89752197265625,401.47520446777344
